날짜,KRX_OF
2024-11-21,1707.5594805928133
2024-11-22,1766.3195540164586
2024-11-25,1754.5474008524805
2024-11-26,1715.4948505508262
2024-11-27,1726.2811464799047
2024-11-28,1691.1708301624058
2024-11-29,1658.5125175222472
2024-12-02,1662.2728394385822
2024-12-03,1715.8213267648416
2024-12-04,1681.154358218516
2024-12-05,1672.582102652969
2024-12-06,1674.5294093290267
2024-12-09,1647.137716804401
2024-12-10,1666.5273682541595
2024-12-11,1682.398703479758
2024-12-12,1702.0540719812286
2024-12-13,1700.931554419227
2024-12-16,1696.2845466710457
2024-12-17,1691.951199582232
2024-12-18,1704.4833457580214
2024-12-19,1687.2957891749404
2024-12-20,1645.2974271601531
2024-12-23,1705.6857282177014
2024-12-24,1682.2767138731435
2024-12-26,1670.1223723780815
2024-12-27,1679.198842583538
2024-12-30,1694.5955352941112
2025-01-02,1690.3164349043695
2025-01-03,1737.4738823440223
2025-01-06,1784.0693072697914
2025-01-07,1800.5775824784891
2025-01-08,1792.318974971255
2025-01-09,1785.975580907311
2025-01-10,1799.1482523483533
2025-01-13,1817.3213554106474
2025-01-14,1807.2309940040202
2025-01-15,1805.8291849629477
2025-01-16,1856.1650557831201
2025-01-17,1883.1320459169476
2025-01-20,1861.8519254753398
2025-01-21,1848.6969568269817
2025-01-22,1880.17958401031
2025-01-23,1863.456296858677
2025-01-24,1873.3600587942142
2025-01-31,1886.940502972978
2025-02-03,1823.2217939646748
2025-02-04,1842.9704370881832
2025-02-05,1873.7327024269655
2025-02-06,1881.2949871677813
2025-02-07,1863.3646194078465
2025-02-10,1842.699734288943
2025-02-11,1854.8613852545432
2025-02-12,1881.7709404486452
2025-02-13,1905.5344572822983
2025-02-14,1955.9170862347703
2025-02-17,1975.846258343429
2025-02-18,1968.8890558792125
2025-02-19,2008.7637363751955
2025-02-20,2021.1622622591685
2025-02-21,2032.2618461170543
2025-02-24,2020.820812075935
2025-02-25,1985.4993207934008
2025-02-26,1994.0290508000678
2025-02-27,1977.614028415881
2025-02-28,1934.6513471007638
2025-03-04,1898.2233449179407
2025-03-05,1949.8366431415802
2025-03-06,1988.6089446616481
2025-03-07,1903.1419877579726
2025-03-10,1908.9294485802325
2025-03-11,1881.662468762474
2025-03-12,1912.4159611729633
2025-03-13,1905.921946604082
2025-03-14,1892.9119660073852
2025-03-17,1917.8338107832133
2025-03-18,1927.4075081766237
2025-03-19,1949.9167489919962
2025-03-20,1979.2689676985465
2025-03-21,1963.725867644597
2025-03-24,1970.2173591516807
2025-03-25,1968.9091719997473
2025-03-26,1964.4300236630322
2025-03-27,1980.617203779494
2025-03-28,1968.9776185327219
2025-03-31,1939.433226940651
2025-04-01,1936.1896575540798
2025-04-02,1931.8916952832715
2025-04-03,1906.7157777327734
2025-04-04,1872.984876449137
2025-04-07,1742.4630076482263
2025-04-08,1742.0955577919706
2025-04-09,1690.3946519432404
2025-04-10,1838.8926953953144
2025-04-11,1792.5386163769876
2025-04-14,1801.4293968718448
2025-04-15,1779.2816163409796
2025-04-16,1772.8049031422124
2025-04-17,1761.632820822578
2025-04-18,1777.4247450010482
2025-04-21,1816.2168201512777
2025-04-22,1803.8719206401015
2025-04-23,1844.8373974694896
2025-04-24,1827.8650529017862
2025-04-25,1865.8430648702767
2025-04-28,1807.285922217846
2025-04-29,1824.6143434475216
2025-04-30,1877.5872787905973
2025-05-02,1878.8224907952747
2025-05-07,1881.6783258621424
2025-05-08,1877.3749748981402
2025-05-09,1857.320230284272
2025-05-12,1858.5925608144291
2025-05-13,1886.8523842945049
2025-05-14,1907.0295366449707
2025-05-15,1866.8541448212418
2025-05-16,1870.731090653312
2025-05-19,1837.8785759624702
2025-05-20,1842.9141722749512
2025-05-21,1853.7020485963326
2025-05-22,1814.3061560889287
2025-05-23,1820.2828816962904
2025-05-26,1847.4709685551888
2025-05-27,1836.1766655212448
2025-05-28,1891.5313440189482
2025-05-29,1958.923904448791
2025-05-30,1946.3936375353103
2025-06-02,1911.5946721388543
2025-06-04,2031.7673584423671
2025-06-05,2038.4632141325465
2025-06-09,2073.577473561356
2025-06-10,2071.534933168491
2025-06-11,2145.623078855731
2025-06-12,2146.577944261263
2025-06-13,2114.8772705184497
2025-06-16,2188.284023373946
2025-06-17,2194.970409385898
